Period,Minutes Remaining,Seconds Remaining,Shot Distance,X Location,Y Location,Shot Made Flag,Game Date,Action Type_Frequency,Team Name_Frequency,Home Team_Frequency,Away Team_Frequency,ShotType_2PT Field Goal,ShotType_3PT Field Goal,ShotZoneBasic_Above the Break 3,ShotZoneBasic_Backcourt,ShotZoneBasic_In The Paint (Non-RA),ShotZoneBasic_Left Corner 3,ShotZoneBasic_Mid-Range,ShotZoneBasic_Restricted Area,ShotZoneBasic_Right Corner 3,ShotZoneArea_Back Court(BC),ShotZoneArea_Center(C),ShotZoneArea_Left Side Center(LC),ShotZoneArea_Left Side(L),ShotZoneArea_Right Side Center(RC),ShotZoneArea_Right Side(R),ShotZoneRange_16-24 ft.,ShotZoneRange_24+ ft.,ShotZoneRange_8-16 ft.,ShotZoneRange_Back Court Shot,ShotZoneRange_Less Than 8 ft.,SeasonType_Playoffs,SeasonType_Regular Season,Game ID_Frequency,Game Event ID_Frequency,Player ID_Frequency
3,9,45,0,0,0,0,20020216,0.05631067961165048,0.021359223300970873,0.036893203883495145,0.036893203883495145,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.003883495145631068,0.003883495145631068
2,9,27,22,-227,-10,0,19990324,0.5786407766990291,0.038834951456310676,0.036893203883495145,0.02524271844660194,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.001941747572815534
4,4,56,2,-10,22,1,20060422,0.12427184466019417,0.038834951456310676,0.027184466019417475,0.040776699029126215,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.001941747572815534,0.001941747572815534,0.003883495145631068
1,5,57,8,-79,28,0,20120513,0.007766990291262136,0.03495145631067961,0.03300970873786408,0.027184466019417475,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.001941747572815534,0.001941747572815534,0.003883495145631068
4,9,51,24,2,249,0,20090308,0.5786407766990291,0.03495145631067961,0.036893203883495145,0.031067961165048542,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.005825242718446602,0.003883495145631068
3,7,35,1,16,3,1,19990304,0.12427184466019417,0.05048543689320388,0.02524271844660194,0.04271844660194175,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.003883495145631068,0.001941747572815534
2,5,56,23,233,54,0,20080315,0.5786407766990291,0.017475728155339806,0.02524271844660194,0.019417475728155338,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
4,7,59,17,59,164,0,20070205,0.003883495145631068,0.03495145631067961,0.03495145631067961,0.04271844660194175,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.001941747572815534,0.005825242718446602,0.003883495145631068
2,10,12,24,-238,47,0,20170102,0.5786407766990291,0.015533980582524271,0.02524271844660194,0.013592233009708738,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.001941747572815534,0.003883495145631068
1,3,46,3,-34,14,0,20150322,0.5786407766990291,0.04271844660194175,0.04660194174757282,0.04271844660194175,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.011650485436893204,0.001941747572815534
