Game ID,Game Event ID,Player ID,Player Name,Team ID,Team Name,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Shot Zone Basic,Shot Zone Area,Shot Zone Range,Shot Distance,X Location,Y Location,Shot Made Flag,Game Date,Home Team,Away Team,Season Type
29800272,178,686,Antonio McDyess,1610612743,Denver Nuggets,2,5,29,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,74,5,1,19990311,UTA,DEN,Regular Season
29800480,61,57,Doug Christie,1610612761,Toronto Raptors,1,4,55,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,147,70,0,19990406,TOR,MIA,Regular Season
29800110,211,417,Sam Mitchell,1610612750,Minnesota Timberwolves,2,1,54,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-177,-1,0,19990219,MIN,VAN,Regular Season
29700384,236,157,Derek Harper,1610612753,Orlando Magic,3,8,23,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,164,194,1,19971226,IND,ORL,Regular Season
29700019,103,160,Tim Breaux,1610612749,Milwaukee Bucks,1,0,16,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,33,91,0,19971101,MIL,NJN,Regular Season
29700418,342,969,Travis Knight,1610612738,Boston Celtics,3,4,8,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19971230,PHX,BOS,Regular Season
29700205,63,891,Charles Oakley,1610612752,New York Knicks,1,3,28,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,151,-10,0,19971129,NYK,PHX,Regular Season
29700652,409,364,Rex Chapman,1610612756,Phoenix Suns,4,0,38,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,59,194,0,19980202,PHI,PHX,Regular Season
29700860,265,779,Glen Rice,1610612766,Charlotte Hornets,3,8,56,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-203,1,0,19980306,CHH,SEA,Regular Season
29700252,224,763,Tony Massenburg,1610612763,Vancouver Grizzlies,2,4,8,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-57,31,0,19971205,VAN,CLE,Regular Season
29800319,226,349,Mark Jackson,1610612754,Indiana Pacers,3,9,32,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,31,40,315,0,19990317,PHI,IND,Regular Season
29700876,386,255,Grant Hill,1610612765,Detroit Pistons,4,7,17,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19980308,LAL,DET,Regular Season
29700242,300,428,Sherman Douglas,1610612751,New Jersey Nets,3,4,37,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,51,111,1,19971205,NJN,PHI,Regular Season
29700801,54,953,Lorenzen Wright,1610612746,Los Angeles Clippers,1,5,13,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19980225,LAC,PHI,Regular Season
29800192,324,399,Sean Rooks,1610612747,Los Angeles Lakers,3,0,57,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,130,-1,0,19990301,PHX,LAL,Regular Season
29701105,403,61,Carl Herrera,1610612759,San Antonio Spurs,4,3,17,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19980408,UTA,SAS,Regular Season
29800678,67,198,Danny Ferry,1610612739,Cleveland Cavaliers,1,3,33,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,123,29,1,19990430,CLE,TOR,Regular Season
29701005,67,951,Ray Allen,1610612749,Milwaukee Bucks,1,2,55,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19980326,CHH,MIL,Regular Season
29701033,122,916,Corie Blount,1610612747,Los Angeles Lakers,1,0,48,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-175,-21,1,19980329,LAL,WAS,Regular Season
29700682,368,1006,Herb Williams,1610612752,New York Knicks,4,9,21,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,126,-3,0,19980210,NYK,CHH,Regular Season
29700537,291,120,Steven Smith,1610612737,Atlanta Hawks,3,5,30,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-139,12,0,19980117,NJN,ATL,Regular Season
29700401,421,905,Dale Davis,1610612754,Indiana Pacers,4,1,56,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19971228,MIA,IND,Regular Season
29701039,178,1501,Tim Thomas,1610612755,Philadelphia 76ers,2,4,42,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19980331,CHH,PHI,Regular Season
29800337,120,711,Jerry Stackhouse,1610612765,Detroit Pistons,2,9,6,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,181,102,0,19990319,DET,DAL,Regular Season
29800080,196,369,Charlie Ward,1610612752,New York Knicks,2,3,9,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-63,14,0,19990216,NYK,TOR,Regular Season
29701170,173,914,Stanley Roberts,1610612750,Minnesota Timberwolves,2,5,9,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19980417,MIN,HOU,Regular Season
29800202,288,251,Sean Elliott,1610612759,San Antonio Spurs,3,5,8,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,162,1,0,19990302,HOU,SAS,Regular Season
29800203,19,731,Greg Ostertag,1610612762,Utah Jazz,1,9,26,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19990302,POR,UTA,Regular Season
29800559,13,1718,Paul Pierce,1610612738,Boston Celtics,1,10,5,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-128,74,0,19990416,BOS,MIA,Regular Season
29800514,404,1869,Charles R. Jones,1610612741,Chicago Bulls,4,6,31,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-201,149,0,19990410,CHI,MIA,Regular Season
29700311,352,310,Bobby Hurley,1610612758,Sacramento Kings,4,11,15,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-149,0,0,19971214,SAC,ATL,Regular Season
29700044,147,236,Kevin Edwards,1610612751,New Jersey Nets,2,9,0,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-194,162,0,19971105,NJN,GSW,Regular Season
29700754,424,714,Michael Finley,1610612742,Dallas Mavericks,4,3,15,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-124,-16,0,19980219,DAL,SAS,Regular Season
29800096,260,965,Derek Fisher,1610612747,Los Angeles Lakers,2,0,1,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19990217,LAL,DAL,Regular Season
29700495,165,1000,Shandon Anderson,1610612762,Utah Jazz,2,4,36,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19980110,HOU,UTA,Regular Season
29800426,361,93,Hubert Davis,1610612742,Dallas Mavericks,4,10,57,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,154,76,0,19990330,MIN,DAL,Regular Season
29700877,141,979,Jermaine O'Neal,1610612757,Portland Trail Blazers,2,9,31,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,42,0,19980308,POR,SAS,Regular Season
29700650,122,1005,Walt Williams,1610612761,Toronto Raptors,1,1,6,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,171,173,1,19980201,POR,TOR,Regular Season
29800370,392,731,Greg Ostertag,1610612762,Utah Jazz,4,1,56,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19990323,UTA,MIA,Regular Season
29701009,131,721,Tyus Edney,1610612738,Boston Celtics,2,11,2,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,48,31,0,19980327,NJN,BOS,Regular Season
